Module,Interface,LDP table name,Schema URL,Example URL,Dev API URL
mod-inventory-storage,/ill-policies,inventory_ill_policies,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/illpolicy.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/illpolicies.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/ill-policy.html
mod-inventory-storage,/instance-formats,inventory_instance_formats,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/instanceformat.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/instanceformats.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/instance-format.html
mod-inventory-storage,/instance-note-types,inventory_instance_note_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/instancenotetype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/instancenotetypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/instance-note-type.html
mod-inventory-storage,/instance-relationship-types,inventory_instance_relationship_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/instancerelationshiptype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/instancerelationshiptypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/instance-relationship-type.html
mod-inventory-storage,/instance-storage/instance-relationships,inventory_instance_relationships,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/instancerelationship.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/instancerelationships_get.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/instance-storage.html
mod-inventory-storage,/instance-statuses,inventory_instance_statuses,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/instancestatus.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/instancestatuses.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/instance-status.html
mod-inventory-storage,/instance-types,inventory_instance_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/instancetype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/instancetypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/instance-type.html
mod-inventory-storage,/instance-storage/instances,inventory_instances,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/instance.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/instances_get.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/instance-storage.html
mod-inventory-storage,/location-units/institutions,inventory_institutions,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/locinst.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/locinsts.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/locationunit.html
mod-inventory-storage,/item-damaged-statuses,inventory_item_damaged_statuses,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/itemdamagedstatus.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/itemdamagedstatuses.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/item-damaged-statuses.html
mod-inventory-storage,/item-note-types,inventory_item_note_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/itemnotetype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/itemnotetypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/item-note-type.html
